	logFC	AveExpr	t	P.Value	adj.P.Val	B
TUBB6	-2.4084701574	5.1020418211	-5.0841880711	5.82E-07	5.97E-06	5.2121537947
KDM6B	-1.0469632542	5.299019252	-5.0828150305	5.86E-07	6.01E-06	5.1928941808
PKD2	-1.0014117266	3.742685151	-5.0815163482	5.90E-07	6.04E-06	5.2650952711
TOR2A	1.025530816	3.4987450079	5.0812354783	5.91E-07	6.04E-06	5.5200984582
RARRES2	-2.3288607611	4.3358279108	-5.0804906241	5.93E-07	6.06E-06	5.2081815326
KIF18A	2.3278175753	2.1555631016	5.07788044	6.01E-07	6.13E-06	5.7500873336
ATAD5	1.5481199083	2.5644026696	5.0718451348	6.19E-07	6.30E-06	5.6436247966
CENPE	2.1167174288	3.694157835	5.0709222231	6.22E-07	6.33E-06	5.5766145802
CD55	-1.6226703241	5.6663850018	-5.0658957997	6.37E-07	6.48E-06	5.1255575866
HIP1R	1.2385507379	5.6864684859	5.0630238561	6.46E-07	6.57E-06	5.152089582
UBE2S	1.5981025782	4.9182385668	5.0625548	6.48E-07	6.57E-06	5.3015742247
EPDR1	-2.1790896633	1.5823953891	-5.0605147826	6.54E-07	6.64E-06	5.4174736443
LMNB2	1.0554052434	6.3526722655	5.0590939151	6.59E-07	6.67E-06	5.0951910527
TIE1	-1.3406604782	3.1775105672	-5.0490491226	6.92E-07	6.99E-06	5.1703878351
PFKFB4	2.1466987811	3.4577955301	5.0453488228	7.05E-07	7.11E-06	5.4806640411
SNORD104	2.1319154439	0.041359147	5.0452700819	7.05E-07	7.11E-06	5.6321206513
FOSL1	-2.1598766443	4.0157763319	-5.0442074738	7.09E-07	7.14E-06	5.0353647579
RAD51AP1	2.2090036156	2.7449850604	5.0435213264	7.11E-07	7.16E-06	5.5464815475
CHEK1	1.5451371251	3.778364468	5.0397840652	7.24E-07	7.29E-06	5.3689657896
RPS6KA1	1.20271818	5.2543288979	5.0394267741	7.26E-07	7.29E-06	5.0882938996
KNSTRN	1.4476830056	3.6879723546	5.0384730601	7.29E-07	7.32E-06	5.3625839851
TACC1	-1.7020155829	5.7742369874	-5.0347296429	7.43E-07	7.45E-06	4.9816749437
ELMO1	-1.4782836186	2.6094500449	-5.0325058889	7.51E-07	7.53E-06	5.1641526644
E2F8	2.5287510166	2.8503156661	5.0279344319	7.68E-07	7.69E-06	5.483447808
PIF1	2.0697742626	2.410766882	5.0186224677	8.03E-07	8.03E-06	5.4400476086
TUBA1A	-2.0096208448	5.8140468796	-5.0114792944	8.32E-07	8.31E-06	4.8742790099
ZGRF1	1.3790960646	2.0618032727	5.0103957962	8.36E-07	8.35E-06	5.3774713074
LCA5	-1.0404111748	1.5814436535	-5.0096441646	8.39E-07	8.37E-06	5.2225955028
PRR11	2.386341329	3.7795082623	5.0077740988	8.47E-07	8.44E-06	5.3189084778
WDR90	1.282323727	4.5116629185	5.0076004432	8.48E-07	8.44E-06	5.0411324075
FAM101B	-1.3019118653	3.1629094932	-5.0046112557	8.60E-07	8.55E-06	4.9563850847
C1orf159	1.2803753891	3.9692974588	5.0040181365	8.63E-07	8.57E-06	5.1081227529
CLSTN3	1.1693534725	5.691675972	5.0027748947	8.68E-07	8.61E-06	4.8749428691
MBOAT7	1.1031277149	7.1228616302	5.0020461314	8.71E-07	8.64E-06	4.8132620303
SNRPF	1.0451277376	5.5007008055	5.0007064396	8.77E-07	8.69E-06	4.8652453433
CD79B	-2.0142162972	0.5155358822	-4.9989167513	8.84E-07	8.75E-06	5.2145690233
TMEM55A	-1.1163559589	2.0331270148	-4.9968742787	8.93E-07	8.82E-06	5.0907134609
SASS6	1.2897657976	2.5744297172	4.9966005526	8.94E-07	8.83E-06	5.2627083738
PRDM1	-1.640944799	3.5370442636	-4.9947727866	9.02E-07	8.90E-06	4.8707933746
BRCA2	1.8313215613	2.8076414712	4.9942541262	9.04E-07	8.91E-06	5.2977781146
SNHG12	1.3819898764	3.9186492924	4.993940386	9.06E-07	8.92E-06	5.0933592939
MFSD10	1.0372639195	6.3783913314	4.9881169245	9.32E-07	9.15E-06	4.7545041438
SLC9B2	-1.4258873374	1.4416741168	-4.9857361315	9.43E-07	9.24E-06	5.1281756218
FKBP5	-2.0044091968	4.4907077352	-4.9840930745	9.50E-07	9.30E-06	4.7452831254
MSC-AS1	-2.3095602759	0.3737895364	-4.9723643396	1.01E-06	9.81E-06	5.1751286797
TICRR	1.8472260315	2.7536609118	4.9711616098	1.01E-06	9.86E-06	5.1778256122
PDLIM7	-1.5643499837	5.4342877835	-4.9672897301	1.03E-06	1.00E-05	4.6536086579
CERS4	-2.0739408034	2.5841633219	-4.9661502223	1.04E-06	1.01E-05	4.7955415789
PLK3	-1.2497839122	3.9765991266	-4.9622320194	1.06E-06	1.03E-05	4.6811105683
SAPCD2	2.9713479009	3.8477053898	4.9578527144	1.08E-06	1.05E-05	5.1200898651
LRRC37A17P	-1.1699925445	0.4197154214	-4.9534942249	1.10E-06	1.07E-05	5.0724936902
STRA13	1.0910592923	5.1747235327	4.9530873794	1.10E-06	1.07E-05	4.6992002308
AC006128.2	2.0188501583	0.4563688214	4.9524338744	1.11E-06	1.07E-05	5.2074888481
LDLR	-1.930725715	5.0179428644	-4.9484327612	1.13E-06	1.09E-05	4.5690198261
SHCBP1	2.3055564136	3.1634131384	4.9476581614	1.13E-06	1.09E-05	5.0990118639
PECAM1	-1.5145700043	5.6612949902	-4.9466034169	1.14E-06	1.10E-05	4.5604659209
SOWAHC	-1.3823241168	4.845764044	-4.9462789239	1.14E-06	1.10E-05	4.5551065556
ITK	-2.2001679077	0.1446814967	-4.9445301856	1.15E-06	1.11E-05	5.0159958477
RP11-254F7.2	-1.2186711113	0.4905236058	-4.9427912182	1.16E-06	1.11E-05	5.0324947543
ADRB2	-1.9062902099	0.6480279234	-4.9419616867	1.16E-06	1.12E-05	4.9067096808
PLEKHO1	-1.6003761039	4.940627288	-4.9415659651	1.17E-06	1.12E-05	4.5358686392
TNNT2	-2.0833964243	0.5018856055	-4.9415291008	1.17E-06	1.12E-05	4.8873753027
CDC7	1.6608778714	3.0459490551	4.9380224289	1.19E-06	1.14E-05	4.982627035
PPP1R16A	1.2855682397	4.3467263726	4.937930549	1.19E-06	1.14E-05	4.7366639094
EIF3L	-1.0393486449	6.1190544689	-4.9372455039	1.19E-06	1.14E-05	4.5219312508
FKBPL	1.1271843429	2.8038055035	4.9350640242	1.20E-06	1.15E-05	4.9421470824
MTMR4	1.0123197308	5.1019914585	4.9347100705	1.21E-06	1.15E-05	4.5937900209
ECE2	1.5861383999	3.2072651185	4.9330040946	1.22E-06	1.16E-05	4.9485075482
DBF4	1.1746929828	3.2428991308	4.9294651967	1.24E-06	1.17E-05	4.8722603582
PITPNM2	-1.1176868247	3.1302672606	-4.9288926951	1.24E-06	1.18E-05	4.6112292513
ZMAT1	-1.8322623825	0.849651075	-4.9286394778	1.24E-06	1.18E-05	4.8580393206
PTPN6	1.0272300646	5.5566994555	4.9283716336	1.24E-06	1.18E-05	4.5233384452
SDC1	2.1309298092	9.3666261764	4.9263842274	1.26E-06	1.19E-05	4.5007026044
MIIP	1.09806902	4.6914455161	4.9250782466	1.26E-06	1.19E-05	4.621243614
CENPU	1.9032401144	3.7583139445	4.9228644129	1.28E-06	1.21E-05	4.8868468541
TIMP3	-1.9400868893	1.3546395708	-4.9219572127	1.28E-06	1.21E-05	4.819728318
PCGF2	1.0626198714	5.257982012	4.9196616069	1.30E-06	1.22E-05	4.5216203123
CTD-2537I9.12	1.9234627345	0.0448937789	4.9189755264	1.30E-06	1.23E-05	5.0611905598
WDR62	2.2353900655	3.1393687219	4.9186600349	1.30E-06	1.23E-05	4.9539409847
CASP6	1.0006916498	4.0122099702	4.9185213074	1.30E-06	1.23E-05	4.6793173761
BTG2	-2.1043505744	7.0150411852	-4.9179765426	1.31E-06	1.23E-05	4.5218520551
ESCO2	2.0826963285	1.8249992515	4.9172595457	1.31E-06	1.23E-05	5.0241746526
DYSF	-1.4241473796	3.7089768198	-4.9156874323	1.32E-06	1.24E-05	4.4805266847
SMAD9	-1.4482255821	1.3256685223	-4.9155136545	1.32E-06	1.24E-05	4.7236053369
EBP	1.1482795742	5.4207399659	4.9137774454	1.33E-06	1.25E-05	4.4897506971
LRRC17	-2.1014088538	0.2538126289	-4.9133906713	1.34E-06	1.25E-05	4.9058555886
STX11	-1.5804920395	0.77931825	-4.9113767315	1.35E-06	1.26E-05	4.8239732572
MXD3	1.5810327351	2.8916454976	4.9103485856	1.36E-06	1.27E-05	4.8666697473
SLC5A6	1.3102773246	5.4037224373	4.9099317753	1.36E-06	1.27E-05	4.5108203965
HMGA1	1.3465722729	7.6277873678	4.9088463631	1.37E-06	1.27E-05	4.3823759793
NEURL1B	-1.3903979856	3.8863611357	-4.9066353726	1.38E-06	1.29E-05	4.4205949012
NCOA7	-1.4301938533	4.750313173	-4.9046078682	1.39E-06	1.30E-05	4.3642865604
TMEM246	-2.0906347572	1.8426282296	-4.9033403659	1.40E-06	1.31E-05	4.5473967309
C8orf4	-2.5344149083	4.9123844956	-4.8987291247	1.43E-06	1.33E-05	4.3528840146
KIF24	1.8237542128	1.8355307821	4.8973963282	1.44E-06	1.34E-05	4.9195958958
PDRG1	1.0163374297	4.3271726872	4.894202574	1.46E-06	1.36E-05	4.5189059558
ZNF497	1.3262056862	0.2702648716	4.8930424737	1.47E-06	1.37E-05	4.9381503539
IMPA2	-1.5566892407	4.142737897	-4.8924610116	1.48E-06	1.37E-05	4.3344370685
ST6GALNAC5	-2.1345396559	0.4494502838	-4.8915754183	1.48E-06	1.37E-05	4.7725010806
MIR222HG	-1.6767870653	0.9226381469	-4.8836270833	1.54E-06	1.42E-05	4.6750085898
CLEC14A	-1.2232951407	2.9279159616	-4.8687449332	1.65E-06	1.52E-05	4.3566896333
GIMAP1	-1.4762527349	1.1360581829	-4.8651564485	1.68E-06	1.55E-05	4.5874828601
RASA3	-1.5489059187	3.1459575281	-4.8639182807	1.69E-06	1.55E-05	4.2922653075
FAM65B	-1.6102228482	1.3793857817	-4.8546081953	1.77E-06	1.62E-05	4.4839103172
CTSF	-1.3682975757	4.49670138	-4.8539656984	1.77E-06	1.62E-05	4.1450122548
SMARCA2	-1.041165636	5.616657037	-4.8512611772	1.80E-06	1.64E-05	4.1162849994
FAM111B	2.8164920881	2.9320587072	4.8459548414	1.84E-06	1.68E-05	4.6788310584
TRIP13	2.4253107796	3.9381504006	4.8428914087	1.87E-06	1.70E-05	4.544233843
CEP152	1.165894938	2.1579343513	4.8413803807	1.88E-06	1.71E-05	4.5855595703
MAD2L1	1.8706670629	3.9492342086	4.8378722336	1.92E-06	1.74E-05	4.451980203
EPB41L3	-1.8298423879	2.6856525139	-4.8356121722	1.94E-06	1.75E-05	4.1996838584
PCK2	1.1445484082	5.217678545	4.8331408526	1.96E-06	1.77E-05	4.1405596317
RRAGD	-1.4528732735	2.7779036077	-4.8314313453	1.97E-06	1.78E-05	4.2058353147
SOCS2	-1.644917543	3.2140031113	-4.8291173757	2.00E-06	1.80E-05	4.1098037676
SNAI1	-1.6726723224	1.0505097106	-4.825653893	2.03E-06	1.83E-05	4.4322182127
PHACTR1	-1.3660565232	1.045509268	-4.8235317085	2.05E-06	1.85E-05	4.3699928497
E2F2	2.6669034654	2.4531942181	4.8230451182	2.05E-06	1.85E-05	4.5956052045
SH3BGRL	-1.2755610527	5.6394578078	-4.8226382654	2.06E-06	1.85E-05	3.9918296199
MIS18A	1.1331492168	3.6929677101	4.8226013271	2.06E-06	1.85E-05	4.3245904156
MRAS	-1.4346531829	3.1948446373	-4.820750696	2.08E-06	1.87E-05	4.1136591105
KRT7	3.6871002394	9.1094151479	4.8182256308	2.10E-06	1.89E-05	3.9847296317
CKS1B	1.4644022525	4.3949101313	4.8171192908	2.11E-06	1.89E-05	4.2509824551
CCDC14	1.2982636202	4.7923367935	4.8155535425	2.13E-06	1.91E-05	4.1185501406
SHC2	-1.5353195934	1.9730457102	-4.8141798762	2.14E-06	1.91E-05	4.2159099537
TNFAIP3	-1.8119872317	4.7421840045	-4.8126725137	2.16E-06	1.93E-05	3.9487467314
ANKRD37	-1.1549474724	1.7782088689	-4.8113741495	2.17E-06	1.94E-05	4.267399745
AMOTL1	-1.508395092	4.802569253	-4.8105333557	2.18E-06	1.94E-05	3.9357670128
CTSK	-2.0946924704	4.8894005932	-4.8073446006	2.21E-06	1.97E-05	3.931921908
ZWILCH	1.0091226004	3.8382979456	4.80662129	2.22E-06	1.97E-05	4.2235658692
PPP1R14BP3	1.4086724976	3.7823927598	4.8030496219	2.26E-06	2.00E-05	4.2492472256
MFSD3	1.517925054	3.9784595602	4.8028407331	2.26E-06	2.00E-05	4.2334396312
IER2	-1.0867495555	6.4815262905	-4.8010992872	2.28E-06	2.01E-05	3.9138672934
PLA2G2A	-3.3190081765	2.953131479	-4.7994971902	2.30E-06	2.03E-05	3.9434492882
TRAF4	1.2741446023	6.6512563125	4.7980847751	2.31E-06	2.04E-05	3.8846509887
VCAM1	-1.9729728168	3.0821541323	-4.7971771937	2.32E-06	2.05E-05	4.0011388335
EEF1A1P11	-1.2335874403	0.3277282648	-4.7966883175	2.33E-06	2.05E-05	4.3616752656
C22orf29	1.2942436765	4.2099242885	4.7945946949	2.35E-06	2.07E-05	4.0843394744
FSTL1	-1.5937804296	6.9535565041	-4.7942226466	2.35E-06	2.07E-05	3.8971991067
LYNX1	-1.8747197504	2.5659121443	-4.7930971206	2.37E-06	2.08E-05	3.9525790752
BCL6B	-1.2576512737	2.1898427549	-4.7907991777	2.39E-06	2.10E-05	4.1371993762
MND1	1.7098530728	1.4655034043	4.7905830177	2.39E-06	2.10E-05	4.456088892
IRF4	-2.0955858453	0.1051914284	-4.7904256252	2.40E-06	2.10E-05	4.3208726574
TSPAN4	-1.4346587038	3.8016957638	-4.7830443685	2.48E-06	2.17E-05	3.8810216085
PYGB	-1.203609306	6.6387350368	-4.7801516748	2.51E-06	2.20E-05	3.8214783787
ZNF530	1.1287809072	1.7086522984	4.7796819023	2.52E-06	2.20E-05	4.3421482529
MPP7	-1.5760722444	3.5966723675	-4.7714498296	2.62E-06	2.28E-05	3.7985300396
TSSK6	1.1029626272	0.0628435205	4.7681401485	2.66E-06	2.31E-05	4.3871664566
COL6A3	-2.3829327044	7.4893668664	-4.7667404599	2.68E-06	2.32E-05	3.8042071698
ZNF692	1.3562404982	4.5722189203	4.766697603	2.68E-06	2.32E-05	3.9251900254
ARHGEF37	-1.3807656513	2.278342554	-4.7635567309	2.72E-06	2.35E-05	3.9222288711
SGO2	1.5322144568	2.7077197487	4.761799828	2.74E-06	2.37E-05	4.2215576999
SAC3D1	1.5368156616	3.3822766946	4.7540680834	2.84E-06	2.45E-05	4.1163313532
MFNG	-1.3870248213	1.9328974507	-4.7510097054	2.88E-06	2.48E-05	3.9707074256
AKR1B10	-3.1813383124	1.5787197047	-4.7448515248	2.96E-06	2.54E-05	3.8050232056
COLCA1	-2.4442700109	1.8702940935	-4.741666379	3.01E-06	2.58E-05	3.7742526202
ANG	-1.2940640888	1.2123034346	-4.7396863752	3.04E-06	2.60E-05	4.0120339569
OPN1SW	-1.0432923844	0.5441527424	-4.7387063811	3.05E-06	2.61E-05	4.1330701245
CPVL	-1.8659591941	2.6697069111	-4.7336470605	3.12E-06	2.67E-05	3.7464571686
ZC3H12C	-1.1195504683	2.7059500892	-4.732368852	3.14E-06	2.68E-05	3.7414671013
RP4-758J18.13	1.2306119616	0.7619378056	4.7283268496	3.20E-06	2.73E-05	4.1862478408
SLC50A1	1.0618423718	5.5920920378	4.7270049016	3.22E-06	2.74E-05	3.6253336751
VAMP8	1.1044839798	6.7066218624	4.7267479803	3.23E-06	2.74E-05	3.5594885461
ODC1	-1.5562001414	5.4430630609	-4.7263730666	3.23E-06	2.75E-05	3.5622960066
RELL2	1.5853190512	1.0297697822	4.7251135309	3.25E-06	2.76E-05	4.1851993725
PITX2	-1.9083696313	1.2430037684	-4.7244327053	3.26E-06	2.77E-05	3.8638997583
MCM5	1.0747220534	5.8707541504	4.7241155689	3.27E-06	2.77E-05	3.5890275599
ACKR3	-1.8551817336	4.6647883712	-4.7175134416	3.37E-06	2.84E-05	3.524705463
GALE	1.2118244586	5.4614014957	4.7162715393	3.39E-06	2.86E-05	3.5903836413
RFC4	1.3677186074	4.1288565256	4.7153869671	3.40E-06	2.87E-05	3.8129460479
PYCRL	1.2623699562	3.9503646516	4.7132217502	3.43E-06	2.89E-05	3.8062948735
PAQR4	2.0451628004	3.1122360735	4.7098418581	3.49E-06	2.94E-05	4.0096095147
C5AR1	-1.7900937666	2.3779940466	-4.7070859963	3.53E-06	2.97E-05	3.7244248524
SNHG14	-1.7373979733	3.2022443971	-4.7055527511	3.56E-06	2.99E-05	3.5342235251
DSN1	1.0816062848	4.1620018516	4.7033789534	3.59E-06	3.01E-05	3.721832168
MPPED2	-2.2143401301	0.5501674192	-4.7020016371	3.62E-06	3.03E-05	3.7774216518
WDR97	2.0521321809	0.1214435659	4.7019742171	3.62E-06	3.03E-05	4.1109343798
CDCA4	1.3829950682	4.3125100189	4.7004979407	3.64E-06	3.04E-05	3.7260619361
CTD-3065J16.9	1.278885538	0.1770957537	4.7002956921	3.65E-06	3.05E-05	4.0941453179
TBL1X	-1.2596775768	4.2642107074	-4.6968029638	3.71E-06	3.09E-05	3.4398113422
ZDHHC12	1.1575092731	5.2539362659	4.6946442741	3.74E-06	3.12E-05	3.5209327516
ARHGEF6	-1.3060122487	3.2565503261	-4.6934771804	3.76E-06	3.13E-05	3.5162120257
CD99L2	-1.0801832209	4.1968570834	-4.6923275791	3.78E-06	3.14E-05	3.4383522979
SPRY2	-1.3174796154	2.9123901666	-4.691625866	3.80E-06	3.15E-05	3.5122346209
C1orf53	1.5026427853	0.5396266265	4.6914651146	3.80E-06	3.15E-05	4.0505422764
ZNF92	1.2736373691	2.6251925292	4.6872492654	3.87E-06	3.21E-05	3.8608869718
ADAMTS10	-1.4381971357	0.9745182967	-4.6852653605	3.91E-06	3.23E-05	3.8370548834
RP11-783K16.5	2.1672607095	0.7954317212	4.6835481757	3.94E-06	3.25E-05	4.0284758787
JAK2	-1.1202630818	2.9981755645	-4.6834886208	3.94E-06	3.25E-05	3.513591029
MTFP1	1.2712429287	2.0711669007	4.6810120027	3.99E-06	3.29E-05	3.8868763518
CD48	-1.9501491965	1.5140866739	-4.6780631863	4.04E-06	3.32E-05	3.6585974598
IQCC	1.0895932457	1.7120649391	4.6770679369	4.06E-06	3.34E-05	3.8938597438
TBC1D7	1.0169184342	3.7179568667	4.6769106018	4.06E-06	3.34E-05	3.6553533025
ADCK5	1.1969331423	3.6187696547	4.6757826481	4.08E-06	3.35E-05	3.6652517996
HBB	-2.0014428788	2.1138649809	-4.6755813948	4.09E-06	3.35E-05	3.4984635559
FBXO17	-1.9822547717	1.3744333796	-4.6723721502	4.15E-06	3.40E-05	3.6798803769
MYC	-2.0327599582	5.5054412427	-4.6715035153	4.16E-06	3.41E-05	3.3280466778
IL10RA	-1.763929451	2.6581256388	-4.6714351659	4.17E-06	3.41E-05	3.4949922831
LMNA	-1.0169259283	8.6267261392	-4.6703470953	4.19E-06	3.42E-05	3.4175425804
ARHGAP28	-1.9809881626	0.9836036299	-4.6700136312	4.19E-06	3.43E-05	3.7312861118
SASH1	-1.1552465622	4.4601170107	-4.6698535799	4.20E-06	3.43E-05	3.3184028473
MRC1	-2.1642162251	2.3810902856	-4.668423841	4.22E-06	3.45E-05	3.5119516131
C1R	-2.0764988581	6.8997289035	-4.6639127957	4.31E-06	3.51E-05	3.3338319028
C17orf107	-1.2267577078	0.2517448135	-4.6631197626	4.33E-06	3.52E-05	3.8097608021
DKK3	-1.56453601	4.4975053828	-4.6617751386	4.36E-06	3.54E-05	3.288042962
DBF4B	1.0934947198	2.9699420521	4.659636787	4.40E-06	3.57E-05	3.6961489324
CTD-2583A14.11	1.3654277042	1.3565287758	4.6588769775	4.41E-06	3.57E-05	3.8577763732
HTRA3	-2.5059268149	4.1979206715	-4.6574501076	4.44E-06	3.59E-05	3.2970941273
AGMAT	1.911213594	1.5422775899	4.6570851911	4.45E-06	3.59E-05	3.8813500185
P2RY1	-1.6496130957	1.5203680936	-4.6570729441	4.45E-06	3.59E-05	3.5382680206
ANKRD33B	-1.9642006239	0.4451867524	-4.6540897303	4.51E-06	3.64E-05	3.6821330327
DHCR7	1.2532885728	5.4500565587	4.6483637883	4.63E-06	3.73E-05	3.3176869134
RACGAP1	1.4124843525	4.7594070124	4.6479335633	4.64E-06	3.74E-05	3.424326494
SPATA6	-1.2950381031	1.8487537354	-4.6439458339	4.73E-06	3.80E-05	3.501385488
MDK	1.7267330984	7.2992877744	4.6436857553	4.73E-06	3.80E-05	3.1940370649
PASK	1.1630268255	3.4652604825	4.6434883857	4.74E-06	3.80E-05	3.5582252999
CDC42EP3	-1.3623151577	4.5811645486	-4.6424393233	4.76E-06	3.82E-05	3.1934304358
TTC28	-1.295711272	3.3283665726	-4.6365396993	4.89E-06	3.91E-05	3.2532347464
ARHGEF17	-1.0294858052	4.331767595	-4.6349626177	4.92E-06	3.93E-05	3.1819482428
SALL4	3.209525108	0.7958744677	4.6326862764	4.98E-06	3.97E-05	3.8162541034
KIAA1671	-1.103805589	4.5725930144	-4.6323463342	4.98E-06	3.97E-05	3.1480899189
VIM	-1.9099460507	7.6295864353	-4.6313196389	5.01E-06	3.99E-05	3.2169766148
CENPL	1.230257604	2.3797696807	4.6295644888	5.05E-06	4.01E-05	3.6465632841
DNM3	-1.3198133371	0.2016196014	-4.6284074253	5.07E-06	4.03E-05	3.6640567578
RNF125	-1.2413096617	1.2516507365	-4.6280139279	5.08E-06	4.04E-05	3.5288356399
FAM26E	-1.6459964261	1.1377334533	-4.6274599833	5.10E-06	4.04E-05	3.5525011329
CYP27B1	2.0213304115	1.2348365716	4.6254692705	5.14E-06	4.08E-05	3.7649797789
CTD-2510F5.4	2.1671815425	0.264102239	4.6212327166	5.24E-06	4.15E-05	3.7698316521
CDKN1C	-1.6061145802	3.3103153903	-4.6200397205	5.27E-06	4.17E-05	3.1746281798
GXYLT2	-2.3552288354	0.3936635661	-4.6196285937	5.28E-06	4.18E-05	3.6046020904
IL17RD	-1.4391533349	1.9606356963	-4.6186811317	5.30E-06	4.19E-05	3.3925844118
CORO1C	-1.1891919018	6.0428526749	-4.6175546974	5.33E-06	4.20E-05	3.082162441
RBP1	-2.000883711	3.0243034797	-4.6175209461	5.33E-06	4.20E-05	3.1912797481
PLA2G4C	-1.5894102298	0.9838042459	-4.6154030243	5.38E-06	4.24E-05	3.4930836168
RASGRF2	-1.268073976	1.5969583666	-4.6118744161	5.47E-06	4.30E-05	3.4635582916
S1PR3	-1.7012868996	3.3820914193	-4.6112378706	5.49E-06	4.31E-05	3.1601256859
EDIL3	-1.5429045568	2.777497567	-4.6101978919	5.51E-06	4.33E-05	3.2296677343
AC027601.1	1.2910565702	0.0175444088	4.6081007082	5.57E-06	4.36E-05	3.7027889715
MAMLD1	-1.4851247419	0.3837858594	-4.6064018867	5.61E-06	4.39E-05	3.5485818853
P4HA3	-1.8703525555	0.9340343877	-4.6061651716	5.62E-06	4.39E-05	3.5051599187
SAMD11	-1.8644703279	0.5554988912	-4.6057299097	5.63E-06	4.40E-05	3.4507571549
CDH1	2.3279533557	7.8067425067	4.6046756137	5.65E-06	4.42E-05	3.0290157901
FANCG	1.1198868979	4.1626762877	4.5950786916	5.91E-06	4.61E-05	3.252639063
LUM	-2.4491393917	6.6915920443	-4.5941244763	5.93E-06	4.63E-05	3.0181206909
GINS3	1.1980249283	2.6837435964	4.5935074537	5.95E-06	4.64E-05	3.4374512327
CAV1	-2.315806675	5.7711821043	-4.5897245469	6.05E-06	4.71E-05	2.9766172196
PCOLCE	-1.7371930133	4.8181472715	-4.5876635101	6.11E-06	4.75E-05	2.9595813059
RHOH	-1.9842686316	0.5634370426	-4.5863033951	6.15E-06	4.77E-05	3.4062665548
INCENP	1.2803214827	4.1748667556	4.586021165	6.15E-06	4.77E-05	3.2082669667
CLYBL	-1.0984178578	1.4715914622	-4.58252773	6.25E-06	4.84E-05	3.2874598851
PDGFC	-1.6451933253	2.6589023493	-4.577484217	6.40E-06	4.95E-05	3.1087015079
IRF8	-1.9786283663	1.675738422	-4.5769371362	6.41E-06	4.96E-05	3.2174309665
KLF10	-1.2613118879	5.0647081673	-4.5760201131	6.44E-06	4.98E-05	2.8968114587
GIMAP8	-1.2855966127	2.1190936958	-4.5750914646	6.47E-06	4.99E-05	3.1766384132
PRICKLE1	-1.8819714408	0.9813086322	-4.5742984513	6.49E-06	5.01E-05	3.3264460865
POU2F2	-1.3178143017	1.8492512629	-4.5730226543	6.53E-06	5.04E-05	3.1856745861
CENPH	1.2868994637	3.062146468	4.5693505609	6.64E-06	5.11E-05	3.3302788152
PSMC3IP	1.1921065038	1.9403343877	4.5679147843	6.68E-06	5.14E-05	3.4215767716
PLIN4	-2.1519421682	3.2669142113	-4.5678070937	6.68E-06	5.14E-05	2.8828677897
ABCA6	-2.0479338358	0.9344271145	-4.5648639278	6.77E-06	5.20E-05	3.1774193799
FOSL2	-1.014581115	7.4537443011	-4.5620615833	6.86E-06	5.26E-05	2.8962464744
CDH5	-1.2174792535	3.7071600345	-4.5612421129	6.88E-06	5.28E-05	2.9078437856
PPP1R35	1.1540307529	3.8622940859	4.560853558	6.90E-06	5.28E-05	3.1369225179
C1S	-2.5088557953	6.5768000691	-4.5559719354	7.05E-06	5.39E-05	2.8597779589
PDE3B	-1.5052965474	2.3345746487	-4.55530847	7.07E-06	5.40E-05	3.0065639158
KMT5C	1.13405483	3.2978536972	4.5551758527	7.07E-06	5.40E-05	3.1923536944
TENM3	-2.9502550466	0.2609842694	-4.5541520147	7.11E-06	5.42E-05	3.3115988864
TRIM59	1.1919502699	2.739826001	4.5529469714	7.15E-06	5.45E-05	3.2679261578
MVK	1.1131386057	4.461307192	4.5486519686	7.29E-06	5.54E-05	2.9567045294
ZYX	-1.0527794736	7.1220589166	-4.548355665	7.30E-06	5.55E-05	2.8122316087
TLN2	-1.0221370411	3.0402319614	-4.5474283792	7.33E-06	5.57E-05	2.9265292553
WDHD1	1.4344117136	3.383082905	4.5434630752	7.46E-06	5.65E-05	3.1832808244
ARHGAP15	-1.5530653193	1.1860173157	-4.542086839	7.50E-06	5.69E-05	3.1610615874
RP11-890B15.3	-1.0413460985	1.3232831183	-4.5378841633	7.65E-06	5.77E-05	3.1357429086
C3orf18	-1.0896214553	1.1610834879	-4.5374725291	7.66E-06	5.78E-05	3.1530049598
NAPSB	-1.7583414598	1.0160775647	-4.5347541917	7.76E-06	5.84E-05	3.1306982534
SRGN	-2.0277242775	4.8404853986	-4.5329015802	7.82E-06	5.89E-05	2.7180824905
ZNF74	1.0961133756	3.5452471084	4.5302713797	7.91E-06	5.95E-05	3.0270555319
FLI1	-1.2671103839	2.5182953726	-4.5258644859	8.07E-06	6.06E-05	2.9116420484
CDKN3	2.0594613894	2.8135746319	4.523952171	8.14E-06	6.09E-05	3.2358095763
ANLN	2.2528753134	4.9015971749	4.523247514	8.17E-06	6.11E-05	3.0140897865
ECT2	1.6560924764	4.6291393097	4.5211502021	8.24E-06	6.16E-05	2.9495114203
SIX4	1.7871556018	2.6157826074	4.5208822809	8.25E-06	6.17E-05	3.1923911651
DPYD	-1.9091176842	2.9824892049	-4.5200354925	8.29E-06	6.18E-05	2.7654639474
TMCC3	-1.4570622923	2.7283262059	-4.5165273028	8.42E-06	6.27E-05	2.8001694494
E2F7	2.4593007505	2.1800849303	4.5157420147	8.45E-06	6.29E-05	3.2703023227
